Org_name,Latitude,Longitude,Street_address,Area of the city,zip,City,state,Division,Subdivision,Category,Website
Envision Unlimited - Halas Vocation Center,41.7387708,-87.6415504,8563 S Vincennes Ave,Auburn Gresham,60620,Chicago,Illinois,Education and skill building supports,Special Needs,Special Needs education ,http://www.envisionunlimited.org/
Easter Seals Metro Chicago,41.8646946,-87.6748055,1939 W 13Th St,Near West Side,60608,Chicago,Illinois,Education and skill building supports,Special Needs,Support groups,http://www.easterseals.com/chicago/
Mercy Home for Boys and Girls,41.878745,-87.6557695,1128 W Adams St,Near West Side,60608,Chicago,Illinois,Education and skill building supports,Special Needs,Support groups,https://www.mercyhome.org/friends-first-mentoring/#.WY4KB3eGNjs
Mercy Home for Boys and Girls,41.8779878,-87.6559377,1141 W Jackson Blvd,Near West Side,60608,Chicago,Illinois,Education and skill building supports,Special Needs,Support groups,https://www.mercyhome.org/friends-first-mentoring/#.WY4KB3eGNjs
Chicago Lighthouse,41.8672328,-87.6724245,1854 W Roosevelt Rd,Near West Side,60608,Chicago,Illinois,Stabilization supports,Special Needs,Health services for people with special needs,http://chicagolighthouse.org/
Easter Seals Metro Chicago,41.8646946,-87.6748055,1939 W 13Th St,Near West Side,60608,Chicago,Illinois,Stabilization supports,Special Needs,Health services for people with special needs,http://www.easterseals.com/chicago/
Family Matters,41.8774019,-87.6499203,310 S Peoria St,Near West Side,60607,Chicago,Illinois,Stabilization Supports,Special Needs,Social-emotional learning Skills,
Alternative Schools Network,41.9631175,-87.6748518,1819 W Sunnyside Ave,Ravenswood,60640,Chicago,Illinois,Stabilization Supports,Special Needs,Social/Emotional education,http://www.asnchicago.org/ys3
Howard Area Community Center,42.02042,-87.67275,7637 N. Paulina Street,,60626,Chicago,Illinois,Stabilization Supports,Special Needs,Social/Emotional education,http://howardarea.org/adults/
Howard Area Community Center,42.007619,-87.668974,1527 W. Morse Avenue,,60626,Chicago,Illinois,Stabilization Supports,Special Needs,Social/Emotional education,http://howardarea.org/adults/
Howard Area Community Center,42.018097,-87.671623,7500 N. Ashland Avenue,,60626,Chicago,Illinois,Stabilization Supports,Special Needs,Social/Emotional education,http://howardarea.org/adults/
Howard Area Community Center,42.020803,-87.673412,7648 N. Paulina Street,,60626,Chicago,Illinois,Stabilization Supports,Special Needs,Social/Emotional education,http://howardarea.org/adults/
